symbol,name,timestamp,open,high,low,close,volume
TATASTEEL,Tata Steel Ltd,2026-08-03 09:30:00,146.48,146.53,146.38,146.48,359785
TATASTEEL,Tata Steel Ltd,2026-08-03 10:00:00,147.66,147.69,147.2,147.66,314588
TATASTEEL,Tata Steel Ltd,2026-08-03 10:30:00,147.5,147.55,147.42,147.5,18912
TATASTEEL,Tata Steel Ltd,2026-08-03 11:00:00,148.36,148.91,148.14,148.36,372696
TATASTEEL,Tata Steel Ltd,2026-08-03 11:30:00,147.86,147.93,147.29,147.86,8407
TATASTEEL,Tata Steel Ltd,2026-08-03 12:00:00,147.14,147.15,146.93,147.14,226571
TATASTEEL,Tata Steel Ltd,2026-08-03 12:30:00,146.91,147.09,146.59,146.91,53625
TATASTEEL,Tata Steel Ltd,2026-08-03 13:00:00,146.74,146.99,146.5,146.74,185331
TATASTEEL,Tata Steel Ltd,2026-08-03 13:30:00,145.68,146.08,145.62,145.68,488548
TATASTEEL,Tata Steel Ltd,2026-08-03 14:00:00,144.78,145.11,144.46,144.78,439846
TATASTEEL,Tata Steel Ltd,2026-08-03 14:30:00,143.74,144.28,143.59,143.74,41466
TATASTEEL,Tata Steel Ltd,2026-08-03 15:00:00,144.1,144.35,144.03,144.1,156722
TATASTEEL,Tata Steel Ltd,2026-08-03 15:30:00,145.51,145.58,145.27,145.51,242717
TATASTEEL,Tata Steel Ltd,2026-08-04 09:30:00,145.37,145.61,145.11,145.37,114842
TATASTEEL,Tata Steel Ltd,2026-08-04 10:00:00,144.83,145.32,144.77,144.83,337911
TATASTEEL,Tata Steel Ltd,2026-08-04 10:30:00,144.58,144.85,144.06,144.58,90669
TATASTEEL,Tata Steel Ltd,2026-08-04 11:00:00,144.02,144.09,143.53,144.02,120141
TATASTEEL,Tata Steel Ltd,2026-08-04 11:30:00,143.52,143.8,142.89,143.52,411847
TATASTEEL,Tata Steel Ltd,2026-08-04 12:00:00,144.77,145.0,144.65,144.77,39701
TATASTEEL,Tata Steel Ltd,2026-08-04 12:30:00,144.08,144.29,143.25,144.08,464469
TATASTEEL,Tata Steel Ltd,2026-08-04 13:00:00,143.98,144.23,143.24,143.98,342039
TATASTEEL,Tata Steel Ltd,2026-08-04 13:30:00,143.99,144.26,143.92,143.99,134303
TATASTEEL,Tata Steel Ltd,2026-08-04 14:00:00,143.96,144.41,143.96,143.96,310939
TATASTEEL,Tata Steel Ltd,2026-08-04 14:30:00,143.2,143.4,143.05,143.2,77525
TATASTEEL,Tata Steel Ltd,2026-08-04 15:00:00,142.89,142.9,142.72,142.89,333962
TATASTEEL,Tata Steel Ltd,2026-08-04 15:30:00,142.99,143.28,142.53,142.99,317690
TATASTEEL,Tata Steel Ltd,2026-08-05 09:30:00,140.0,140.79,139.09,140.0,456296
TATASTEEL,Tata Steel Ltd,2026-08-05 10:00:00,139.66,140.16,139.48,139.66,65058
TATASTEEL,Tata Steel Ltd,2026-08-05 10:30:00,139.3,139.7,139.25,139.3,63485
TATASTEEL,Tata Steel Ltd,2026-08-05 11:00:00,140.3,140.35,140.1,140.3,6701
TATASTEEL,Tata Steel Ltd,2026-08-05 11:30:00,141.67,141.88,141.63,141.67,98665
TATASTEEL,Tata Steel Ltd,2026-08-05 12:00:00,142.5,142.67,142.49,142.5,332837
TATASTEEL,Tata Steel Ltd,2026-08-05 12:30:00,142.2,142.68,142.04,142.2,404775
TATASTEEL,Tata Steel Ltd,2026-08-05 13:00:00,141.94,142.4,141.19,141.94,488621
TATASTEEL,Tata Steel Ltd,2026-08-05 13:30:00,141.91,141.92,141.88,141.91,492115
TATASTEEL,Tata Steel Ltd,2026-08-05 14:00:00,142.04,142.71,141.26,142.04,427982
TATASTEEL,Tata Steel Ltd,2026-08-05 14:30:00,141.95,142.07,141.33,141.95,49907
TATASTEEL,Tata Steel Ltd,2026-08-05 15:00:00,140.76,140.83,140.12,140.76,403774
